City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Dauphin,CA,2022-03-02 04:03:02,51.1494,-100.0502,15.94,79,100,4.61
214,Vilhena,BR,2022-03-02 04:02:26,-12.7406,-60.1458,69.1,96,100,1.48
215,Drabiv,UA,2022-03-02 04:04:28,49.963,32.1529,32.9,89,100,11.88
216,Filadelfia,US,2022-03-02 04:00:03,39.9523,-75.1638,46.98,68,97,5.01
217,Sechura,PE,2022-03-02 04:04:28,-5.5569,-80.8222,75.9,65,94,5.41
218,Matara,LK,2022-03-02 04:04:29,5.9485,80.5353,82.62,73,98,2.39
219,Belmonte,BR,2022-03-02 04:04:29,-15.8631,-38.8828,79.3,83,94,3.71
220,Lata,PT,2022-03-02 04:04:29,40.1629,-8.3327,44.92,96,10,1.7
221,Daru,PG,2022-03-02 04:04:30,-9.0763,143.2092,88.63,58,79,2.57
222,Mabaruma,GY,2022-03-02 04:04:30,8.2,-59.7833,73.54,94,16,3.42
223,Kapaa,US,2022-03-02 04:04:30,22.0752,-159.319,78.78,72,0,9.22
224,Nokaneng,BW,2022-03-02 04:04:31,-19.6667,22.2667,67.8,85,87,3.96
225,Ribeira Grande,PT,2022-03-02 04:04:31,38.5167,-28.7,59.95,85,100,14.34
226,College,US,2022-03-02 04:03:17,64.8569,-147.8028,13.84,98,96,2.24
227,Leningradskiy,RU,2022-03-02 04:04:32,69.3833,178.4167,9.28,85,65,3.2
228,Port Alfred,ZA,2022-03-02 04:04:32,-33.5906,26.891,72.27,92,52,13.62
229,Kitgum,UG,2022-03-02 04:04:33,3.2783,32.8867,70.65,56,71,4.38
230,Naze,JP,2022-03-02 04:04:33,28.3667,129.4833,59.68,74,85,13.87
231,Innisfail,AU,2022-03-02 04:00:12,-17.5333,146.0333,89.22,61,84,8.39
232,Chimbote,PE,2022-03-02 04:04:34,-9.0853,-78.5783,71.02,82,88,5.59
233,Altay,CN,2022-03-02 04:04:34,47.8667,88.1167,21.4,68,6,1.28
234,Luderitz,NA,2022-03-02 04:04:34,-26.6481,15.1594,64.31,76,0,8.5
235,Santarem,BR,2022-03-02 04:04:35,-2.4431,-54.7083,77.13,94,75,6.91
236,Acapulco,MX,2022-03-02 04:01:14,16.8634,-99.8901,77.34,76,0,7.7
237,Salalah,OM,2022-03-02 04:04:35,17.0151,54.0924,69.89,49,0,3.44
238,Sitka,US,2022-03-02 04:04:36,57.0531,-135.33,42.69,81,100,0.0
239,Bonavista,CA,2022-03-02 04:04:37,48.6499,-53.1147,15.12,69,78,19.44
240,Harper,LR,2022-03-02 04:04:37,4.375,-7.7169,79.75,86,50,8.77
241,Mirnyy,RU,2022-03-02 04:04:38,62.5353,113.9611,1.24,84,99,4.0
242,Touros,BR,2022-03-02 04:04:38,-5.1989,-35.4608,77.9,86,48,10.22
243,Barcelos,PT,2022-03-02 04:04:38,41.5388,-8.6151,50.29,88,80,3.36
244,Binzhou,CN,2022-03-02 04:04:39,37.3667,118.0167,61.27,16,0,13.51
245,Zomba,MW,2022-03-02 04:04:40,-15.386,35.3188,61.18,95,86,1.36
246,Yarim,YE,2022-03-02 04:04:40,14.298,44.3779,51.67,51,3,5.68
247,Narsaq,GL,2022-03-02 04:04:41,60.9167,-46.05,35.82,63,100,1.92
248,Luganville,VU,2022-03-02 04:04:42,-15.5333,167.1667,78.62,89,100,3.69
